makes explicit
measure becomes
sophisticated indexing
term rules
linear sentence
arbitrary domains
rather intricate
space rather
3rd sing
saraclar et
reasonable extent
pos pair
quirk 1985
sense created
0 sentences
green light
directional implication
mutatis mutandis
action since
different ways
tone mark
different update
flag indicating
speaking style
embedded mt
segment found
language family
silicon graphics
many templates
systems involving
supporting software
including pronouns
search area
parse metric
independent lexicon
anaphoric links
recursive formula
sequence de
meeting domain
bill woods
containment relation
concept 1
outputs generated
g feature
example defines
build structured
using strategy
input string
different properties
term query
also subsumes
constraints ou
instance within
separate clauses
tag perplexity
modified input
muc 4
2 byte
receiving primary
frames relate
lexical selection
art unsupervised
muc h
numbers presented
rpda model
i1 en
perceptual primitives
semantic formulas
priorities among
actual system
descriptive entities
different meta
different changes
lfg rule
6 coreference
distributional classes
roles assignments
calculus expression
open roles
result seems
question 1
concepts per
processes operate
matching capabilities
similar vectors
1 page
remove noisy
predefined list
assume anything
a0 a10
many requirements
uncertainty machinery
token a46
lincoln labs
fluent strings
recognize idioms
judges considered
exclusive inheritance
possible measure
perform discourse
sensory input
objects used
handles cases
alternation behaviour
understanding process
semiring computes
paraphrasing sentences
simple regular
mmi encoders
form also
outputs may
program given
gesture combinations
given lv
via default
human beings
function estimate
known goals
hmm trained
local computer
level design
groupes locutionnels
nominal markables
internal lexicon
aspectual transformations
rwcp text
variation within
ancient poetry
new errors
figure a5
original objective
specified model
non relevant
chain might
obvious application
language provide
phrase lengths
models share
additional dimensions
pcfg using
procedure assumes
output knowledge
contains text
containing discourse
del bosque
various notions
consistent combination
illegible strings
coherent versus
significant correlations
chinese speech
government analysts
form algorithm
connectionist component
add w
method collects
competing strategies
initial production
systems involve
representations make
column 6
norm sondheimer
tutoring condition
size units
entries starting
system goals
recognizer works
express total
directly modifies
pronoun cannot
table contained
prior references
novelty track
dependent morphological
1000 triples
including asr
anaphors occur
normalized expectation
ge nltoolset
question unanswered
integrated treatment
ambiguities must
higher counts
modifying nonterminals
using table
phrase meanings
addressee classification
lingo erg
deterministic computation
priori known
expected time
robust results
japanese articles
score q
fixed depth
verb unless
necessary relation
generating discourse
event counts
rough idea
rarely produces
de gauche
agreement study
increase tile
correct forms
preposition interpretation
f takes
distinct type
girju et
arrest frame
two runs
redundancy problems
consists simply
langage naturel
constraint stating
share content
sampling bias
line dialogue
baseline shown
deserve special
training procedure
adjacency principle
exists must
marker wa
evaluate every
tagger evaluation
called g
significant recall
entity classes
particular surface
detailed generalizations
interesting option
correct expression
entity alignment
research leading
entry head
head positions
semantic relevance
pearson correlations
initial item
outscope every
intera project
visible link
overall detection
vital part
cap sogeti
another event
veri es
annotation contains
collocational features
foreign minister
log p
second representation
source would
points suggest
simulated omissions
possible case
naacl 2003
metric temporal
corresponding logic
news headlines
possible tokenizations
spl input
new kinds
typographical error
boolean lattice
verb tenses
lexicon induced
assign exactly
recall obtained
syntax allows
typically contains
line systems
clause commas
global optimisation
like ne
verb constructions
question naturally
one associates
corpus markup
two genes
cannot felicitously
5 metrics
unlexicalized parser
al qaeda
constraints guarantee
document indexing
possible morpheme
son cousin
lin 1994
main qa
obligatory complement
interaction modes
semantic trees
svm output
related approaches
two assessors
historic sites
participating entities
attached pps
chinese surname
several head
simple tripartite
avoid redundant
dynamic ordering
important practical
subgrammar extraction
depend entirely
markov crfs
damaris ayuso
ed kneser
effective nlp
first classifier
expression corresponds
entire design
formula c
extended sequence
three views
ip believes
e fdl
text recall
kruseman aretz
step procedure
compositional behavior
philosophy behind
embedded construction
combined data
final context
clear patterns
evidence combination
subjectivity dataset
concepts exist
validation techniques
polysemous verbs
time identification
obtain statistics
resulting sort
keys used
parsing principles
also entails
hovy 1990
also sets
lingual system
computer without
reliable clues
future implementations
document processing
three level
word lemmatizer
constituent marked
average lengths
vast body
graph 3
form model
subjective judgments
mechanisms needed
using knacq
acquire patterns
speaker presents
current wsd
keypad entry
sharing subdialogue
penalizes false
dop decomposition
jensen 1987
f appears
conjunctive noun
achieve real
shortest route
turin university
flee grammar
anaphoric link
alignment selection
system evaluated
filling mechanism
multiple instances
different columns
probability pr
using p
annotator first
useful notion
general notion
future context
moortgat 1988
rules produce
discrepancies among
different second
wu 1994
head domain
entailment rules
tipster domains
en partant
syntax field
shared processing
two combinations
common computational
embedded finite
e ns
single score
permit easy
un substantif
document markup
marking process
modularity constraint
next intermediate
little effect
party interactions
seem likely
generation activities
study investigates
spurious names
find max
several projects
prototype analyzer
day hungarian
oct 2000
syntactic category
link added
parser directly
actions related
several companies
whose salience
conventional parsing
defeasible rule
new subclasses
func x
temporal links
suk lee
certain flexibility
better disambiguation
peter kim
depth first
local value
four numbers
x man
accurate reflection
remaining sentence
text relationship
novel methodology
starting position
time interpretation
transport verbs
tagger one
9 compares
information detection
weather events
datr lexicons
contains lexical
single improvement
ne class
special convention
dt jj
present concern
system based
error repairing
a26 a7
semantic resource
name repetition
construction requires
use lhe
every argument
brew verb
incorporate knowledge
global distributional
vlsi processors
lexical transformations
best parsing
describe word
school bullying
two room
like subjects
simple disambiguation
stage sawed
subdialogue may
providing training
selection depends
following morph
representations within
clear statement
linguistic restrictions
1 points
polysemy degree
names recognition
certain content
class terms
ieer data
accurate pronunciation
generated clusters
sample node
chunks level
first conjunct
glossary entries
upper nodes
11 j
optimistic estimate
certain similarity
peuvent 6tre
sacrifice precision
unique state
taggers assign
common applications
texts make
procedural character
functions specify
distractor objects
moving closer
states final
research group
tv newscast
unrelated languages
bird flies
rule list
close meaning
final text
unseen text
rule ordering
fixed combinations
pair respectively
und das
arbitrary permutations
toneless stw
step four
following intermediate
rst analysis
earlier transfer
crucial difference
setting parameters
2003 version
functional classification
null 2000
usability factors
maxent framework
stored ill
mt approach
es pour
model information
conceptual primitives
true text
file whose
4 see
appropriate subsections
reduce perplexity
period infer
brian roark
verb would
practical side
increasing trend
incorrect due
lexical sports
specified way
order 3
future text
k classes
performs sequence
match uses
related knowledge
highest weight
rapp 1995
sense 9
interpretation grammar
answer fusion
appeared calm
liberation rule
parsing coverage
intransitive usages
ambiguity exists
need different
speaker space
defined path
computational phonology
see gure
hmm point
comparative expressions
every evening
simple normal
frequency e
specific solution
independent heuristics
review articles
tags associated
relevant connections
uninflected words
standard files
verbnet frames
extracted ne
vowel shifts
semiconductor production
search strategies
phonology attribute
number 19
autosegmental representation
consonant classes
human assessment
consonant alignment
subsequent pause
tackle issues
kazunori muraki
large training
relevant factor
document scores
constructed discourses
young women
product service
making travel
possible incorrect
corresponding paraphrase
approach helps
united states
tight constraints
technical skills
macro structure
erroneous results
binomial hypothesis
keyword pairs
template shown
multiword term
interpretation constraints
idealized cognitive
modal output
rule rewrites
appropriate instantiation
complete taxonomy
cr framework
common interface
predictions produced
several correct
one yields
simulation results
ii est
predictive parsing
nl expressions
give semantics
context similarity
primary difference
optional inter
null category
sentence compressor
single function
parameter classes
accept tags
used expressions
awkward sequences
list locuslink
ibm 360
harmony rules
general list
head paths
generation routine
interface provided
null gram
real problem
object locations
specific contents
5 lines
500 nouns
school student
derive w
semantic pivot
iff every
evaluate component
improving retrieval
spell therapist
computer company
rules defining
give priority
visualization environment
external criterion
reversed lexicon
good engineering
subjective usability
tag models
memory structures
use predicate
shanker 1992
loves every
directly access
chinese base
using description
practical algorithms
evaluate using
reliable indicator
grant number
importance value
similar tendencies
representing parts
forward pointer
feature word
related tools
perform separate
form xo
subtle sense
use anaphoric
identify segments
new car
p2 e
integrated description
assumes different
labeled examples
lexical tagging
significant consequences
based comparison
generate captions
regulus 2
per dimension
class called
use entropy
observation symbol
tile remaining
6 q
tanaka corpus
gram taggers
e en
machinery used
complete unit
processing sometimes
include errors
frame np
recognition rate
assigned variables
normal search
part type
separate values
mixture language
monolingual treebank
dependency size
actual experience
members disagree
predicting plausibility
emmon bach
available entities
primitive words
end 1
important improvement
relation introduces
repairs using
continuous segment
although sentences
edges produced
marcu exploiting
generator network
sentence bead
quality statistical
oai infrastructure
test uses
vers la
density hmm
interface cannot
experimental tests
different index
sphere format
combine fragments
rational power
full category
labelled data
classified instance
semantic contexts
lesson learned
general plans
70 texts
count tile
tagging assigns
complex syntactic
milne 1983
representative vector
interaction constraint
evaluation format
special symbol
word a45
100 types
articles indicates
rule looks
old values
set semantics
relation loc
time relation
referring expre
top entry
exact relationship
dictionary compiling
evaluating summarization
documents belonging
procedure correctly
current objects
feature matrices
ldc grammar
allowing application
language varieties
american society
simulation architecture
context a0
analysis focuses
major test
usually produces
wordnet expansion
preferred approach
analyzer must
powerful grammars
unpredictable order
temporary blockage
time position
screening zone
traversal strategy
educational programs
tel que
desired goal
occur rarely
metrical theory
final lexical
actual domain
9 presents
default weight
scores among
results taken
derive implicit
leiser 1993
chinese dialects
inevitably contain
relational distance
heuristics must
spontaneous effects
pps like
particular analytic
choice points
null ble
vocabulaire de
comment structures
tagger first
representing nps
soft features
grained differences
following p
important advances
performance suggests
taxonomic fields
general clustering
put x
thai ocr
containing v
expressions produced
current arc
certain decision
much tighter
metaphoric usage
reduced performance
au c
single digit
la distance
natural tasks
tree constraint
indirect evidence
approach since
students must
simple decomposable
phrase housing
type identification
similar cluster
bimodal corpus
disambiguation program
moderate accuracy
true wer
trigram counts
6 b
independent sub
clauses conjoined
multiple content
nouns plus
regular type
version contains
conditional link
document set
produce fully
word tl
clause serves
frameworks based
single relational
conclusive choices
data acquired
features except
10 qa
plan evaluation
significantly decrease
tree t2
la morphosph
highest f1
art method
terminological languages
authors acknowledge
n letters
given gm
program focused
exists even
corresponding concept
informational queries
complete muc
feature spaces
operation selects
dots indicate
e topic
implicit communication
pos level
general aim
sentences seemed
frame type
canonical representation
principles used
thai words
use hmms
spent approximately
pos x
predicate looks
semiphone system
different splits
unfamiliar words
separate utterance
measures computed
identifies possible
combination fast
alternate translation
pose complex
shared set
legal da
mian hua
two randomly
infrequent ones
des concepts
600 sentence
text images
schema 2
specific lexica
structure corresponds
majority votes
alternative feature
atmospheric blanket
management post
national science
anyone wishing
description hierarchy
classification operation
indicates thai
v consists
often varies
width factor
present b
text context
lower dimensional
results quite
neural basis
reasonable hypothesis
morphemic information
tutorial example
smaller clusters
complex prepositions
mundane information
model originally
research department
capture paraphrases
constraint file
important function
layer pattern
reviews according
assigning types
research comparing
serial composition
corresponding corpus
enriched set
tag variants
unit sequence
al v
4 example
central notion
explicit mechanisms
convince us
internal sub
governed prepositions
add links
domain constraint
7 cases
randomized algorithms
use bleu
e part
tags appear
monotone block
whose derivations
objects extracted
grained judgments
show 0
briefly discuss
communication rate
example occurs
substantial investment
reference date
ie needs
model gains
simpler metrics
prone process
segment purpose
ma10 da9
global variables
augmented trees
entity tracking
efficient structure
grammatical approach
analysis coupled
additional stipulation
lig conditions
end generator
grouped within
ai researchers
related idea
set domain
notable exceptions
practical environment
proceed towards
lift heavy
john entered
second tier
two inner
lisp data
prepositional verb
topic structure
see mitkov
active reading
system abilities
send unvarnished
provides sufficient
item might
form associations
sample tag
independent occurrences
parsed input
dynamic adjectives
4 al
cosine vector
4 sm
verbs onto
6 times
sentential semantics
translation steps
vector c
given w
terrorist reports
closed run
foreign origin
successful incorporation
text preparation
tipster iii
similar category
composed model
block metric
expert judges
relations except
example decision
sample consisted
fn database
generation ambiguity
conversion proceeds
radio broadcast
1980 michael
trajector landmark
tim resulting
rejection errors
rewriting process
onr database
motion capture
unmodified nouns
underlying application
distinct elements
markov property
edge research
process node
system consults
plan body
memory element
pass control
obtain weights
indicator phrase
actual paths
integer value
two causes
node pointers
steel strip
tree banks
specific synonym
sampling techniques
word sample
lexicalize cfgs
easily change
actual forms
line green
sharing tools
dialog participant
practical effect
valued context
condition x
user id
weighted agreement
second ease
triggered words
spelling variations
category comprises
memory requirement
problem due
use techniques
many states
achieve recall
candidate examples
hypothesized stems
via composition
lingual domain
circumstance relation
pagerank algorithm
nouns respectively
english origin
processing involved
sentence l
words document
bidirectional methods
question holds
segmentation occurs
classifies certain
global cost
deverbal nominalisation
one stand
automatic definition
specific node
explanation produced
set driven
phrase appearing
segmentation precision
identity would
side c
nine groups
native tongue
give promising
trains 91
right son
third interesting
optimal strategies
contains example
distinguished verb
label data
student certainty
query mode
computer readable
base generated
extension must
dependent expressions
position pivot
use examples
project leader
block a6a20a39
first order
wh element
produce discourse
ed mentions
straddling n
empty string
report produced
assigned wider
temporary structures
surface constraint
overlap similarity
natural conditions
enfin que
la gra
months old
prosodic discourse
confidence interval
structure terms
specialized senses
row gives
spontaneous conversation
active duty
likely assignments
propositional representation
various solutions
best altavista
numerous challenges
learned parameters
search radar
rank relevant
source fragments
defined topics
contain domain
information makes
sound pressure
major field
method similar
definition language
telephone operator
pronouns appearing
15 documents
child would
human grammar
definition makes
level objects
linguistic verb
allowed word
representational format
without text
segmentation decision
accuracy requires
language comprehension
transcribed segments
another copy
stranded prepositions
paraphrases produced
contains 400
terrorist attack
potential referent
asked anne
10 hits
called level
iterative parsing
energy parameters
invention relates
template generated
short output
dependency transduction
conditional likelihood
2 corresponds
inferential process
japanese entries
called x
examples e
list cs
sentence annotated
required users
specific frame
oriented query
chapter describes
local domains
larger volumes
also obey
independent phones
software products
accurately model
word something
whose words
discourse chunk
english spelling
extracted events
syntactic annotation
system frame
third challenge
multiple decision
annotation guidelines
specific cue
features allowed
event e
base document
core noun
free resources
sentences averaging
p imposes
research plans
many messages
b reference
vp constituent
literature describing
biber 1988
initial trees
monolingual lexicons
see rows
cognitive plausibility
examples might
translation e
examples consist
possible courses
susan chipman
article may
predicates defined
antecedent set
condition iv
first unification
proposal consists
template may
reporting clause
tout de
mount everest
batch rules
flight numbers
modal operators
ptb data
tree containing
understanding task
maps p
five relations
conjunctive postposition
sample scenario
set composition
cooking actions
collection took
exact context
form several
additional transitions
offer encouragement
algorithm gives
map unit
size k
allowing non
inferential relations
whole string
coreference problems
supervised method
latent variables
concepts among
avoids redundant
syntactic correctness
set expression
full story
various lists
synchronous forward
available individual
type relation
jan marie
english elements
access path
unlabeled pool
user involvement
xerox palo
mahajan et
actor secundario
knowledge based
words inside
answer whether
use libsvm
much information
two bases
recency bias
conjunctional constructions
questions arise
class specifies
combination cannot
literals w
approach involving
wide class
structure categories
linguistic interactions
texts comprising
intended reference
sense rather
autosegmental tier
form natural
table information
dialogue framework
les departements
action recognition
smaller window
personal preference
right links
checker must
different ners
triliteral roots
empirical probabilities
clustering phase
equivalent automaton
two statements
elixir contains
sentence parallel
dialogue moves
tree adjunct
next decision
values would
numbers provide
uses svm
hearer also
symbol probability
53 sentences
kare wo
means p
facilities offered
tagging efforts
language report
latter probability
related news
using random
object preferences
approaches currently
sentence numbers
step described
making flight
understanding part
extended explanation
model fares
matching characters
research aim
order a2
frequency higher
always refers
n node
domain containing
identification act
simplification algorithm
adjusted frequencies
information integration
governing preposition
different audiences
simultaneous constructions
admit two
term derived
parser aims
2 languages
cuk 1988
million pairs
ancient greek
handle open
phrase meaning
descriptions introduced
linker distribution
used rules
correct features
words annotated
utterances occur
left picture
tense marking
jie jue
relations allowed
binding conditions
verb uses
interaction coverage
transcription method
appear closer
six areas
data employed
character language
appropriate generalizations
based coreference
examinees would
chased ate
measure performed
suppose c
studies consider
translations without
9603 training
misrecognized speech
differs little
topology shown
feature cont
verb arguments
written version
essentially language
state immediately
procedure closure
inferential knowledge
private state
nl query
processing models
school context
action rule
e nextbigram
new response
word analyzer
objects associated
k des
training cycles
cluster adjustment
unification rather
provide context
properties allow
consider processing
possible templates
tanaka et
first semester
significant help
hirst 2001
logical implication
rtn game
dictionary creation
movie review
evaluations reported
action nouns
practical algorithm
distinct modules
related levels
target chinese
absolute time
alignment workshop
citing papers
utterance order
adequately captures
rules transform
phrase v
two requests
adjusted recall
decisions within
application scenarios
high training
latter models
english lemmas
reason lies
see manning
wilks 1978
agents use
certain degrees
applications may
hypothesis predicts
jjv test
acquisition methodology
kernels defined
let ti
contained text
including travel
probability category
cue identification
8 questions
related task
1 demonstrate
relevant concept
incorporate part
used word
learning domain
external source
percent figures
equal weight
sentential forms
unseen example
science department
permettre de
approach slightly
du module
relic role
magnitude improvement
talk system
incorrect relations
statistics rather
first collects
small pilot
umls metathesaurus
kind permission
passive transformations
parallel cases
500 companies
gram modelling
secondary key
relatedness scores
vocabulary space
answer opportunities
final dictionary
simpler method
left predictions
different noise
two semirings
specify extended
sample collection
sign model
model embodies
third method
cannot answer
polysynthetic languages
simple naive
grammatical transformation
sentential expression
rightmost children
specific configuration
intelligent link
stochastic segment
system con
builds two
properly subsumes
situational script
actually serves
input buffer
underlying non
recognition programs
particular fs
bas6 sur
system configuration
korean newspaper
backtracking search
every reduction
aspectual adverbials
following sum
abstract tree
relevant corpus
simpler questions
three extraction
similar story
case particles
iii system
consonantal onset
controversy among
forest containing
local memory
situation holds
task achievement
scope preferences
modification processes
likelihood given
phenomenon kb
air burst
strategy using
using entity
pairs labeled
considers sentence
recognition consists
greedy search
comment upon
declarative kernels
argument variable
domain coverage
texts often
related part
place different
source segment
satisfactory level
equal basis
annotation requires
semantic grammar
trial plan
cue interpretation
gram stain
property c
variable order
cluster documents
ambiguities inherent
failure caused
execution semantics
vocabulary needed
recognizing gene
initiative changes
jack walked
value assigned
ante gram
relation produces
2 categories
feedback model
technique significantly
general relationships
find candidate
general trends
test vector
final release
bp network
umbrella kicked
look backwards
morphological tense
template grammars
overarching goal
proto forms
un tel
4 frames
text element
phrasal scope
cross language
comlex contains
without help
since conjunction
categories directly
lists three
annotated noun
labrador towards
trees would
idl formalism
6 routing
tagging effort
answer corresponding
single information
example verbs
class matches
case allows
filler partially
parameter combinations
10 morphemes
structures occurring
semantic constraints
world entity
null list
muc 6
mais la
en n
papers show
specific tag
word words
geometric models
huge improvement
relative addresses
dictionary application
hardware available
james allan
utterance produced
n ranking
pp compl
trec annotators
short note
pre xed
way sense
train multiple
weighted connections
name c
potential fillers
provides interesting
corpus development
5 domains
7 topics
sum test
certain parts
lexc grammar
get feature
predict word
prolog workspace
using networks
average v
anytime algorithms
include incidents
residual information
langue de
lexical neighborhoods
longer mwes
line access
new interest
ellipsis cases
assumption would
system consisted
hh dialogue
facts could
word john
english dialogues
meanings defined
take steps
distinguished labels
000 people
extreme positions
paths without
exact offline
various realization
systems 1
verbmobil task
essential element
spontaneous text
english span
fire v
evaluation questionnaire
using paraphrases
baseline performance
cases except
lesser degree
expression matches
beliefs must
parser states
transcribed user
associated salience
home loan
ic score
clause version
basic noun
essential requirement
trees q
least understood
process comprises
building routine
different attribute
generating algorithm
rank features
including phrasal
suppose f
klabbers et
current mental
video segmentation
linguistic labels
intentional description
right parent
find triples
thls paper
strict constraint
local discourse
give students
unifying framework
four primary
linguistic dependency
correct relative
free variable
basic control
nhan discovery
version includes
multiple lvcsr
verb ttena
common sequence
sensitive spelling
human perspective
use fixed
ambiguity words
quantified np
input often
l arc
north america
data systems
sequential parser
graphical language
exhaustive prediction
becket et
automatic humor
automatic alignment
lengths greater
mapping g
order objects
german f
discriminant features
btec contains
distributive lattice
morpheme discovery
mast et
relation motivation
language morphology
des approches
weight used
uniform account
structured entities
temporal continuity
special patterns
main development
andrews trading
results point
first speech
commanding woman
develop theories
reasons mentioned
use traditional
performs morphological
increased training
invoke rule
texts contains
pair english
practical purpose
fifteen dollars
al algorithm
tone recognition
party conversation
training dialogues
functional property
speech alone
certain period
worth investigating
wsd performance
minimal disruption
objet est
bayesian inversion
phonotactic model
recall trade
a0 a8
relational explanations
objects appear
english subject
resource development
condition l
pleonastic pronouns
multiple verbs
solving tasks
overview first
model lm
instances using
terms present
long beach
autistic children
training size
summarization redundancy
required information
gives sentence
input efficiently
substantial savings
general circulation
score normalized
intention must
bernoulli model
level indexing
analysis indicate
also envisage
functions must
perform model
model implicitly
projection chain
180 degrees
dachshund bit
prominent feature
important ones
head features
e class
word chunks
following classification
generation copies
two approaches
side channel
english tagger
apply grammar
larger training
scoring projective
calendar system
minor categories
automatic use
pair occurring
interactive capabilities
persistent objects
formal space
eval set
ensemble technique
extracts features
aligning process
obtain values
cluster may
score estimate
cell proliferation
verb segment
recognition time
pargram project
validation paradigm
correction capabilities
state consisting
thus pose
rule compilers
capitalized words
methods extract
graphics display
less e
actual web
rao distance
accuracy comparable
various enhancements
links necessary
extra dimensions
instantiated predicate
foth et
connected routes
complicated relation
role relationships
increased speed
automatic marking
technique outperforms
additional hand
merge takes
concept rather
morphemes including
reporting events
dependent rules
level processing
number gives
discourse reasoning
sentence sequences
null unfortunately
functions performed
word wprime
ontological primitives
specific scenario
one document
following layers
recent noun
apply constraints
n tag
generation rules
gold standards
unbounded size
article generation
score th
admires mount
domain depends
mark coreference
several pps
connect two
property f
source representations
template generation
general nl
independent plu
particular sgml
unigram recall
take e
dominance behaviour
selected unit
different abstracts
three cluster
velopment set
goals must
respective tags
analysis errors
language noun
definiteness markedness
trivial results
pass search
conversational interaction
complex interactive
pluralia tanta
pbs values
commonsense semantic
hypothesized rules
two relations
conjoined structures
ce could
technology applications
vq index
formed sentence
preferences rather
different nlp
level markup
2 extracts
tuple whose
using svm
resulting plan
work primarily
contains definitions
end bracket
least characterize
crossing arcs
supersense tagger
two female
ratcliff 1992
attuning measures
long definitions
appropriate subsets
db system
source vector
tipster evaluations
time stage
segments plus
computational treatments
200 tags
senior vice
stylistic criteria
fall back
grammatical feature
noun marked
term lists
g qi
genia v1
lexeme entries
inflectional process
communication facility
karta karaka
finite grammar
dependent word
like summaries
k u
np w
name f
ex ey
precision changes
use label
avoid infinite
traditional conception
prior corpus
formal approaches
conservative nature
straightforward interpretation
computer magazine
poor estimates
unofficial scores
implementation shows
approach operates
pair extractor
tipster environment
example 31
frequency phrases
always applies
amharic news
becomes larger
tripartite ontology
best analyzed
lexicalized trees
significant potential
non significant
corrected mt
way anova
annotations assigned
analysis allows
prepositional functions
minimum effort
unit provides
tanaka selective
universitat polit
following entity
meaning independent
substantial reduction
direct projection
child uses
quantum leap
hypothesized word
unsegmented text
filler states
central tendency
host application
denotes part
manipulation language
actually construct
e considered
twe questions
entire qa
question profile
treebank development
different understanding
determining correspondences
thematic differences
substitute lexical
output class
reviewer pointed
presupposition accommodation
current vline
constructs must
acquire transfer
chosen articles
compound nps
based q
normalized standard
multiple parts
recipe graph
work needs
method simply
inflectional relations
position grammar
one innovation
transduction rule
combining expressions
research trends
distributed network
first degree
dirt database
atis corpora
different prosodic
four transformations
e h
eva haji
stage 7
ni noru
include tasks
extraction database
several parameters
keywords within
incoming instance
empirical question
two knowledge
different data
particular constructions
perform simple
differential treatment
communication time
tools make
german syntax
formal relations
experiment 4
pos extraction
maximal consonant
proper axioms
governable functions
main parser
three category
containing gaps
descendant nouns
corpus tend
utterance speech
preparatory step
one inside
encouraging result
adopt strategies
company indexing
1 stands
cmu textract
data without
choices proposed
pass using
provide robustness
segment sentences
general metaphor
si xi
representation make
adjunctor steps
feature propagation
rules developed
conditions regarding
several proposals
synset ids
stages translation
pedagogical content
tim inference
routing evaluation
relational phrases
prone task
h respectively
level scores
park 1995
present models
mi value
strong resemblance
rating values
ct one
domain event
official said
external appearance
explicitly contain
given link
module within
disjunctive nodes
oriented abstract
representation permits
concepts appears
action 1
identical test
lower numbers
learn grammar
cannot even
grammatical characteristics
sequential proof
pr system
additional arguments
new mechanisms
voting scheme
gram back
semantic perspective
unl system
meaning might
deictic reference
harry gross
asking subjects
list members
existing collections
une ou
frame size
describe future
ball ba
generating simple
preliminary nature
travel expressions
utterance patterns
dialogue partners
document repository
data sequence
verb representations
entries represented
type phon
linguistic functions
multiple nps
obvious case
applying methods
character transitions
form based
rule p3
fsa utilities
muc text
collocation dictionaries
service personnel
sections 10
computational motivation
many disfluencies
one god
state dependence
method showed
either inside
types adjective
ngai et
unique identifiers
sentential units
long dashes
levenshtein metric
rewriting task
key ways
restricted phrase
various contexts
benchmark ontology
partial derivations
differing degrees
morph types
recognizing paraphrases
node causing
ebl method
accepted fact
applying context
de pens
missing transitions
wider context
operational way
global model
two tools
without al
statistic language
goi taikei
emerging technology
given parent
sounding output
general theoretical
identify candidate
den akker
le sujet
realises arrows
algorithm parameter
natural generalization
un r6seau
indicate either
reference segmentations
blind deconvolution
circled sub
caus feature
signi cantly
one inch
detailed part
verbal inflection
working sdss
es comme
key properties
previous decision
phrase also
memory savings
kahane et
data sampled
individual parameters
complex parser
project within
coreference algorithm
support questions
repetition accuracy
labeled speaker
dimensional concept
oracle database
tense combinations
verb normalized
argument seems
object name
contains 7
unknown sequence
early august
space limits
problems resulting
utility programs
short narrative
beyond part
indira gandhi
predicate instances
hmm network
extracted summaries
slot list
aspect relates
95 words
multilingual parsing
main axes
speaker actually
two bodyguards
corpora consisting
time map
last resort
characters like
slot ordering
pol tone
sinica bow
judges could
contains 25
property denoted
endless recursion
two latent
times using
wi must
enough word
processing differences
decomposable idioms
sequences beginning
hum subj
tutorial session
local problems
cm long
first base
credit hour
coherent situation
contain erroneous
major tasks
hand crafting
fop lowing
pronouns also
unique parse
generated link
problem somewhat
variable patterns
associative connections
pseudo fps
triphone hmms
intuitive notion
convey different
physics problems
syllabic script
automated search
computer media
unsupervised discovery
nominal stem
little choice
lsa filtering
graphic conveys
context around
report similar
algorithm calculates
correct tokenization
systems processed
speaker interaction
sources like
function pull
cyclic node
smt framework
diverse approaches
synsem sere
next examine
intrinsic interest
subsequent parsing
words retrieved
feature filtering
pembroke street
unknown linear
optional adverb
total feature
expletive pro
language universals
engineering architecture
de savoir
current contribution
decoding time
also corresponds
study suggests
optimized bigram
exponential form
z 7
se tenir
possible underlying
implemented syntax
entire syntactic
sequence matches
c version
generator takes
adaptation speech
final contours
achieve robustness
a5 a6
markedness analysis
directed backward
numerical scores
year phase
corpus prior
san salvador
49 themes
category sentence
comparison system
v given
c vp
framenet annotations
properties together
pragmatic distinctions
common infix
component action
scope dependencies
taken note
wa n
parse according
formal tools
action 3
important techniques
categories represent
vein expressions
several qa
wordnet equivalent
basic center
victor yngve
contextual representations
parlance system
temporal dimension
language typology
preceding questions
karttunen 1984
compute l
bill believed
meet one
applying text
attitude types
procedure 2
jaccard metric
suitable domain
strong presence
csa interpreter
application built
level set
helicopter pilot
theorem 3
longest pattern
el padre
important modification
strict hierarchy
copying phenomena
satellite increases
brief definition
jack values
represented summaries
tool could
unit activities
potential distractors
secret service
new predictions
similarity alone
following sets
image emacs
work covers
substitution provides
commercial dictionaries
japanese parallel
diverse relations
long form
differences exist
unambiguous calls
another study
pp category
recognition server
assessing student
start method
speech tagger
al 1995
mother f
virginia teller
contrastive experiment
right prediction
hair cells
model pa
resulting algorithms
6 th
subjects table
set features
limitations preclude
ou des
nouns occurring
papillon platform
e slot
anytime algorithm
avoiding useless
defined ne
sample tree
character b
eliminate cases
hence c
classification rates
producing responses
nodes occurring
related class
binary random
cited works
independent evaluators
obtenir la
readers familiar
mapping entries
loria toolbox
gram precisions
learning units
example 10
use visual
arguments around
interactive retrieval
partial words
explicit system
classroom instruction
frequency new
2 baselines
content level
interpretations produced
une fonction
swedish sentence
systems still
foreign proper
target types
strict synonymy
primary head
chinese utterances
transformational gr
que dans
purpose reasoning
language like
base analysis
learnt policy
produced translations
say p
without repair
language nn
rule formalisms
roles may
analyses like
phrase model
varying number
russian physics
possible states
flat category
telephone directory
primary conditional
cluster generation
models include
initial grammar
eckert et
level workspace
identifying noun
generate inflected
target landmark
communication framework
component currently
zajic et
restricted lexicon
system comparison
kemal oflazer
matrix domain
simple versions
fnf class
syntactic role
criteria functions
context means
like submodels
recognizer failed
lower pitch
short sample
model needs
two modifier
chinese ideographs
c condition
map individual
wlw 2
l state
one insight
markov chains
engtwol lexicon
culminated processes
differing sets
restrictions upon
three sessions
new fragment
measure compares
preliminary results
defense advanced
conversion rule
logical connection
constituency structure
dependency parameters
automatic letter
constituent tokens
links via
argument expressing
east project
a93 a0
experiments within
